Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;NV schnell Ri 1_PZB;0/00:30:00;0/00:25:00;00:30;00:25;00:29;00:25;00:05:00/00:01:00; 0,00; 0,00;160,00;45,00;160,00;-;HVerk;-;K A 0.375 H 1 Pv s Halteplatz, Steigend, Personenzug, l=420.0m, Links, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(5)=<K A|0,380/+0|HS|N1|0>  Anfang(0)=<K A|0,375/+0|HP|H 1 Pv s|0>|1  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;00:30:00;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,251000;600000,0;  0,0;3198,5;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;0;H 1 Pv s;True;NV schnell Ri 1_PZB;False;00:25:00;00:30:00;5,00;1,00;False;-;Weiche W05 B - Weiche W07 B (0);1800;1500
0;NV schnell Ri 1_PZB;0/00:30:00;0/00:30:00;00:30;00:30;00:30;00:30;-; 0,00; 0,00;160,00;45,00;160,00;-;V;-;K A 0.375 H 1 Gv s Halteplatz, Steigend, Güterzug, l=740.0m, Ohne, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(5)=<K A|0,380/+0|HS|N1|0>  Anfang(5)=<K A|0,380/+0|HS|N1|0>  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,251000;600000,0;  0,0;3198,5;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;0;;True;NV schnell Ri 1_PZB;False;00:30:00;00:30:00;-;-;False;-;Weiche W05 B - Weiche W07 B (0);1800;1800
1;NV schnell Ri 1_PZB;0/00:30:01;0/00:30:01;00:30;00:30;00:30;00:30;-; 5,00; 4,85;160,00;45,00;160,00;-;V;-;;;K A;Knoten A;0/00:00:01;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,251000;600000,0;  0,0;3474,0;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:01;00:30:01;-;-;False;-;-;1801;1801
3;NV schnell Ri 1_PZB;0/00:30:02;0/00:30:02;00:30;00:30;00:30;00:30;-;10,00; 9,71;160,00;45,00;160,00;-;V;-;;;K A;Knoten A;0/00:00:02;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,250000;600000,0;  0,0;3804,5;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:02;00:30:02;-;-;False;-;-;1802;1802
5;NV schnell Ri 1_PZB;0/00:30:03;0/00:30:03;00:30;00:30;00:30;00:30;-;12,84;12,47;160,00;45,00;160,00;-;V;-;K A 0.380 N1 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(0)=<K A|0,375/+0|HP|H 1 Pv s|0>|1  Anfang(0)=<K A|0,375/+0|HP|H 1 Pv s|0>|1  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:03;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,250000;600000,0;  0,0;4016,8;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;0;;True;NV schnell Ri 1_PZB;False;00:30:03;00:30:03;-;-;False;-;Weiche W05 B - Weiche W07 B (0);1803;1803
5;NV schnell Ri 1_PZB;0/00:30:03;0/00:30:03;00:30;00:30;00:30;00:30;-;12,84;12,47;80,00;45,00;80,00;-;V;-;K A 0.629  Geschwindigkeit Zulässig, Steigend, v=80km/h, Wirkung ab Signal, PZB;;K A;Knoten A;0/00:00:03;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,250000;600000,0;  0,0;4016,8;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;0;;True;NV schnell Ri 1_PZB;False;00:30:03;00:30:03;-;-;False;-;Weiche W05 B - Weiche W07 B (0);1803;1803
10;NV schnell Ri 1_PZB;0/00:30:04;0/00:30:04;00:30;00:30;00:30;00:30;-;17,84;17,32;80,00;45,00;80,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:04;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,249000;600000,0;  0,0;4433,8;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:04;00:30:04;-;-;False;-;-;1804;1804
15;NV schnell Ri 1_PZB;0/00:30:05;0/00:30:05;00:30;00:30;00:30;00:30;-;21,91;21,27;80,00;45,00;80,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:05;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,248000;600000,0;  0,0;4813,9;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:05;00:30:05;-;-;False;-;-;1805;1805
20;NV schnell Ri 1_PZB;0/00:30:06;0/00:30:06;00:30;00:30;00:30;00:30;-;25,33;24,59;80,00;45,00;80,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:05;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,247000;600000,0;  0,0;5161,6;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:06;00:30:06;-;-;False;-;-;1806;1806
25;NV schnell Ri 1_PZB;0/00:30:06;0/00:30:06;00:30;00:30;00:30;00:30;-;28,34;27,51;80,00;45,00;80,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:06;-;160,00;1,0000;1,030;-;-;210,0;453,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 1 - RG;1,246000;600000,0;  0,0;5488,9;  0,0;1,030;1,00;1,00;"80 0462-34.19;80 0462-34.19;";0;NV schnell Ri 1_PZB;;;False;NV schnell Ri 1_PZB;False;00:30:06;00:30:06;-;-;False;-;-;1806;1806
