Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;FV Ri 2_PZB;0/00:26:00;0/00:26:00;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K B 102.880 GE-W7 Gleisende; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(1700)=<K B|101,180/+0|HS|F|1>  Ende(1900)=<K B|100,980/+0|ZSS||1> ;K B;Knoten B;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;0;;True;FV Ri 2_PZB;False;00:26:00;00:26:00;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1560;1560
680;FV Ri 2_PZB;0/00:26:16;0/00:26:16;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K B 102.200  ZB-Anfang, Fallend, PZB;;K B;Knoten B;0/00:00:15;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;0;;True;FV Ri 2_PZB;False;00:26:16;00:26:16;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1576;1576
680;FV Ri 2_PZB;0/00:26:16;0/00:26:16;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;K B 102.200 160 Geschwindigkeit Zulässig, Fallend, v=160km/h, Wirkung ab hier, Alle;;K B;Knoten B;0/00:00:15;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;0;;True;FV Ri 2_PZB;False;00:26:16;00:26:16;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1576;1576
700;FV Ri 2_PZB;0/00:26:16;0/00:26:16;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;K B 102.180 Vf Vorsignal, Fallend, Fb=9s, Unbekannt; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(700)=<K B|102,180/+0|VS|Vf|1> ;K B;Knoten B;0/00:00:15;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;0;;True;FV Ri 2_PZB;False;00:26:16;00:26:16;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1576;1576
725;FV Ri 2_PZB;0/00:26:17;0/00:26:17;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:16;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:17;00:26:17;-;-;False;-;-;1577;1577
750;FV Ri 2_PZB;0/00:26:18;0/00:26:18;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:16;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:18;00:26:18;-;-;False;-;-;1578;1578
775;FV Ri 2_PZB;0/00:26:18;0/00:26:18;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:17;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:18;00:26:18;-;-;False;-;-;1578;1578
800;FV Ri 2_PZB;0/00:26:19;0/00:26:19;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:18;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:19;00:26:19;-;-;False;-;-;1579;1579
825;FV Ri 2_PZB;0/00:26:19;0/00:26:19;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:18;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:19;00:26:19;-;-;False;-;-;1579;1579
850;FV Ri 2_PZB;0/00:26:20;0/00:26:20;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:19;-;160,00;1,0000;1,050;-;-;401,4;982,4;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2 _PZB;;;False;FV Ri 2_PZB;False;00:26:20;00:26:20;-;-;False;-;-;1580;1580
