Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;GV langsam Ri 1_L2;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.880 Ende 1 Gleisende; Ref(700)=<K A|-2,180/+0|HS|001|0>  Anfang(700)=<K A|-2,180/+0|HS|001|0>  Ende(750)=<K A|-2,130/+0|ZSS|SZSS -1 001|0> ;K A;Knoten A;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;True;GV langsam Ri 1_L2;False;00:27:59;00:27:59;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1679;1679
0;GV langsam Ri 1_L2;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.880  Punktbeeinflussung, Steigend, ETCS L1 FS, kennung=1; Ref(700)=<K A|-2,180/+0|HS|001|0> ;K A;Knoten A;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;False;GV langsam Ri 1_L2;False;00:27:59;00:27:59;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1679;1679
0;GV langsam Ri 1_L2;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;BEP zu K A -2.180 001 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(700)=<K A|-2,180/+0|HS|001|0>  Anfang(0)=BEP zu <K A|-2,180/+0|HS|001|0> ;K A;Knoten A;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;;;False;GV langsam Ri 1_L2;False;00:27:59;00:27:59;-;-;False;Indication;-;1679;1679
436;GV langsam Ri 1_L2;0/00:28:17;0/00:28:17;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;BEP zu K A -1.180 A Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(1700)=<K A|-1,180/+0|HS|A|0>  Anfang(436)=BEP zu <K A|-1,180/+0|HS|A|0> ;K A;Knoten A;0/00:00:17;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;;;False;GV langsam Ri 1_L2;False;00:28:17;00:28:17;-;-;False;Indication;-;1697;1697
680;GV langsam Ri 1_L2;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.200  ZB-Anfang, Steigend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>)/ETCS2( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;K A;Knoten A;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;True;GV langsam Ri 1_L2;False;00:28:27;00:28:27;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1707;1707
680;GV langsam Ri 1_L2;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.200  Geschwindigkeit Abweichend, Steigend, v=160km/h, Wirkung ab hier, Alle, Ursache=, Zusatzbem.=; Ref(1200)=<K A|-2,200/+0|VA||0> ;K A;Knoten A;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;False;GV langsam Ri 1_L2;False;00:28:27;00:28:27;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1707;1707
700;GV langsam Ri 1_L2;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:28;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;;;False;GV langsam Ri 1_L2;False;00:28:28;00:28:28;-;-;False;-;-;1708;1708
700;GV langsam Ri 1_L2;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.180 001 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Anfang(0)=<K A|-2,880/+0|GE|Ende 1|2>  Ende(750)=<K A|-2,130/+0|ZSS|SZSS -1 001|0> ;K A;Knoten A;0/00:00:28;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;True;GV langsam Ri 1_L2;False;00:28:28;00:28:28;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1708;1708
700;GV langsam Ri 1_L2;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.180 Va Vorsignal, Steigend, Fb=9s, Unbekannt; Ref(1700)=<K A|-1,180/+0|HS|A|0> ;K A;Knoten A;0/00:00:28;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;0;;False;GV langsam Ri 1_L2;False;00:28:28;00:28:28;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1708;1708
725;GV langsam Ri 1_L2;0/00:28:29;0/00:28:29;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:29;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L2;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_L2;;;False;GV langsam Ri 1_L2;False;00:28:29;00:28:29;-;-;False;-;-;1709;1709
