Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;NV langsam Ri 1_PZB;0/00:30:00;0/00:25:00;00:30;00:25;00:29;00:25;00:05:00/00:01:00; 0,00; 0,00;140,00;45,00;140,00;-;HVerk;-;K A 0.375 H 2 Pv s Halteplatz, Steigend, Personenzug, l=420.0m, Rechts, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(5)=<K A|0,380/+0|HS|N2|0>  Anfang(0)=<K A|0,375/+0|HP|H 2 Pv s|0>|1  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;00:30:00;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2463,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;0;H 2 Pv s;True;NV langsam Ri 1_PZB;False;00:25:00;00:30:00;5,00;1,00;False;-;Weiche W05 S - Weiche W07 S (0);1800;1500
0;NV langsam Ri 1_PZB;0/00:30:00;0/00:30:00;00:30;00:30;00:30;00:30;-; 0,00; 0,00;140,00;45,00;140,00;-;V;-;K A 0.375 H 2 Gv s Halteplatz, Steigend, Güterzug, l=740.0m, Ohne, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(5)=<K A|0,380/+0|HS|N2|0>  Anfang(5)=<K A|0,380/+0|HS|N2|0>  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2463,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;0;;True;NV langsam Ri 1_PZB;False;00:30:00;00:30:00;-;-;False;-;Weiche W05 S - Weiche W07 S (0);1800;1800
1;NV langsam Ri 1_PZB;0/00:30:01;0/00:30:01;00:30;00:30;00:30;00:30;-; 5,00; 4,85;140,00;45,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:01;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2668,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;;;False;NV langsam Ri 1_PZB;False;00:30:01;00:30:01;-;-;False;-;-;1801;1801
4;NV langsam Ri 1_PZB;0/00:30:02;0/00:30:02;00:30;00:30;00:30;00:30;-;10,00; 9,71;140,00;45,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:02;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,110000;320400,0;  0,0;2913,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;;;False;NV langsam Ri 1_PZB;False;00:30:02;00:30:02;-;-;False;-;-;1802;1802
5;NV langsam Ri 1_PZB;0/00:30:03;0/00:30:03;00:30;00:30;00:30;00:30;-;11,35;11,02;140,00;45,00;140,00;-;V;-;K A 0.380 N2 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(0)=<K A|0,375/+0|HP|H 2 Pv s|0>|1  Anfang(0)=<K A|0,375/+0|HP|H 2 Pv s|0>|1  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:03;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,109000;320400,0;  0,0;2987,4;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;0;;True;NV langsam Ri 1_PZB;False;00:30:03;00:30:03;-;-;False;-;Weiche W05 S - Weiche W07 S (0);1803;1803
5;NV langsam Ri 1_PZB;0/00:30:03;0/00:30:03;00:30;00:30;00:30;00:30;-;11,35;11,02;140,00;45,00;140,00;-;V;-;K A 0.380 VS -1 101 Vorsignal, Steigend, Fb=9s, Unbekannt; Ref(1060)=<K A|1,435/+0|HS|101|0>  Anfang(5)=<K A|0,380/+0|VS|VS -1 101|0> ;K A;Knoten A;0/00:00:03;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,109000;320400,0;  0,0;2987,4;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;0;;True;NV langsam Ri 1_PZB;False;00:30:03;00:30:03;-;-;False;-;Weiche W05 S - Weiche W07 S (0);1803;1803
5;NV langsam Ri 1_PZB;0/00:30:03;0/00:30:03;00:30;00:30;00:30;00:30;-;11,35;11,02;140,00;45,00;140,00;-;V;-;K A 0.380  Geschwindigkeit Zulässig, Steigend, v=160km/h, Wirkung ab hier, Alle; Ref(133)=<K A|0,380/+0|VZ||0> ;K A;Knoten A;0/00:00:03;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,109000;320400,0;  0,0;2987,4;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;0;;False;NV langsam Ri 1_PZB;False;00:30:03;00:30:03;-;-;False;-;Weiche W05 S - Weiche W07 S (0);1803;1803
10;NV langsam Ri 1_PZB;0/00:30:04;0/00:30:04;00:30;00:30;00:30;00:30;-;16,35;15,87;140,00;45,00;140,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:04;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,108000;320400,0;  0,0;3285,6;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;;;False;NV langsam Ri 1_PZB;False;00:30:04;00:30:04;-;-;False;-;-;1804;1804
15;NV langsam Ri 1_PZB;0/00:30:05;0/00:30:05;00:30;00:30;00:30;00:30;-;20,27;19,68;140,00;45,00;140,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:05;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,107000;320400,0;  0,0;3548,4;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;;;False;NV langsam Ri 1_PZB;False;00:30:05;00:30:05;-;-;False;-;-;1805;1805
20;NV langsam Ri 1_PZB;0/00:30:06;0/00:30:06;00:30;00:30;00:30;00:30;-;23,54;22,85;140,00;45,00;140,00;-;V;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:06;-;140,00;1,0000;1,030;-;-;128,2;273,1;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,106000;320400,0;  0,0;3787,0;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_PZB;;;False;NV langsam Ri 1_PZB;False;00:30:06;00:30:06;-;-;False;-;-;1806;1806
