Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;GV schnell Ri 1_L1 FS;0/00:28:12;0/00:28:12;00:28;00:28;00:28;00:28;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.880 Ende 1 Gleisende; Ref(700)=<K A|-2,180/+0|HS|001|0>  Anfang(700)=<K A|-2,180/+0|HS|001|0>  Ende(750)=<K A|-2,130/+0|ZSS|SZSS -1 001|0> ;K A;Knoten A;0/00:00:00;-;100,00;1,0000;1,040;-;-;500,0;1337,0;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;True;GV schnell Ri 1_L1 FS;False;00:28:12;00:28:12;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1692;1692
0;GV schnell Ri 1_L1 FS;0/00:28:12;0/00:28:12;00:28;00:28;00:28;00:28;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.880  Punktbeeinflussung, Steigend, ETCS L1 FS, kennung=1; Ref(700)=<K A|-2,180/+0|HS|001|0> ;K A;Knoten A;0/00:00:00;-;100,00;1,0000;1,040;-;-;500,0;1337,0;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;False;GV schnell Ri 1_L1 FS;False;00:28:12;00:28:12;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1692;1692
0;GV schnell Ri 1_L1 FS;0/00:28:12;0/00:28:12;00:28;00:28;00:28;00:28;-;100,00;96,15;100,00;-;100,00;-;K;-;BEP zu K A -2.180 001 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(700)=<K A|-2,180/+0|HS|001|0> ;K A;Knoten A;0/00:00:00;-;100,00;1,0000;1,040;-;-;500,0;1337,0;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;;;False;GV schnell Ri 1_L1 FS;False;00:28:12;00:28:12;-;-;False;Indication;-;1692;1692
426;GV schnell Ri 1_L1 FS;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;100,00;96,15;100,00;-;100,00;-;K;-;BEP zu K A -1.180 A Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(1700)=<K A|-1,180/+0|HS|A|0> ;K A;Knoten A;0/00:00:15;-;100,00;1,0000;1,040;-;-;500,0;1337,0;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;;;False;GV schnell Ri 1_L1 FS;False;00:28:28;00:28:28;-;-;False;Indication;-;1708;1708
680;GV schnell Ri 1_L1 FS;0/00:28:37;0/00:28:37;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.200  ZB-Anfang, Steigend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>)/ETCS2( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;K A;Knoten A;0/00:00:24;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;True;GV schnell Ri 1_L1 FS;False;00:28:37;00:28:37;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1717;1717
680;GV schnell Ri 1_L1 FS;0/00:28:37;0/00:28:37;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.200  Geschwindigkeit Abweichend, Steigend, v=160km/h, Wirkung ab hier, Alle, Ursache=, Zusatzbem.=; Ref(1200)=<K A|-2,200/+0|VA||0> ;K A;Knoten A;0/00:00:24;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;False;GV schnell Ri 1_L1 FS;False;00:28:37;00:28:37;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1717;1717
700;GV schnell Ri 1_L1 FS;0/00:28:38;0/00:28:38;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:25;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;;;False;GV schnell Ri 1_L1 FS;False;00:28:38;00:28:38;-;-;False;-;-;1718;1718
700;GV schnell Ri 1_L1 FS;0/00:28:38;0/00:28:38;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.180 001 Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(0)=<K A|-2,880/+0|PU||0>  Anfang(0)=<K A|-2,880/+0|GE|Ende 1|2>  Ende(750)=<K A|-2,130/+0|ZSS|SZSS -1 001|0> ;K A;Knoten A;0/00:00:25;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;True;GV schnell Ri 1_L1 FS;False;00:28:38;00:28:38;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1718;1718
700;GV schnell Ri 1_L1 FS;0/00:28:38;0/00:28:38;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K A -2.180 Va Vorsignal, Steigend, Fb=9s, Unbekannt; Ref(1700)=<K A|-1,180/+0|HS|A|0>  Anfang(700)=<K A|-2,180/+0|VS|Va|0> ;K A;Knoten A;0/00:00:25;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;0;;True;GV schnell Ri 1_L1 FS;False;00:28:38;00:28:38;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1718;1718
725;GV schnell Ri 1_L1 FS;0/00:28:39;0/00:28:39;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:26;-;100,00;1,0000;1,040;-;-;500,0;1337,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 1_L1 FS;;;False;GV schnell Ri 1_L1 FS;False;00:28:39;00:28:39;-;-;False;-;-;1719;1719
